------------Nº Generacion | Aptitud total | Promedio aptitud | Individuo mas apto | Individuo menos apto |
            0 | 2853.09690619 | 28.5309690619381 | -7.984127968255937 |    128.5401450802902 |
            1 | 1257.63531527 | 12.5763531527063 | -7.999007998015996 |    422.8076136152272 |
            2 | 1171.34602269 | 11.7134602269204 | -7.999007998015996 |                136.0 |
            3 | 1138.70915741 | 11.3870915741831 | -7.999007998015996 |                136.0 |
            4 | 1168.11705623 | 11.6811705623411 | -7.999007998015996 |                136.0 |
            5 | 1237.92919585 | 12.3792919585839 | -7.999007998015996 |                136.0 |
            6 | 1334.28234856 | 13.3428234856469 | -7.999007998015996 |                136.0 |
            7 | 1298.59507719 | 12.9859507719015 | -7.999007998015996 |                136.0 |
            8 | 1201.81536363 | 12.0181536363072 | -7.999007998015996 |                136.0 |
            9 | 1164.47640895 | 11.6447640895281 | -7.999007998015996 |                136.0 |
           10 | 1093.79130758 | 10.9379130758261 | -7.999007998015996 |                136.0 |
           11 | 1059.69619939 | 10.5969619939239 | -7.999007998015996 |                136.0 |
           12 | 1142.04724409 | 11.4204724409448 | -7.999007998015996 |                136.0 |
           13 | 1248.41465682 | 12.4841465682931 | -7.999007998015996 |                136.0 |
           14 | 1211.10050220 | 12.1110050220100 | -7.999007998015996 |                136.0 |
           15 | 1288.79409758 | 12.8879409758819 | -7.999007998015996 |                136.0 |
           16 | 1163.88616777 | 11.6388616777233 | -7.999007998015996 |                136.0 |
           17 | 1159.98263996 | 11.5998263996527 | -7.999007998015996 |                136.0 |
           18 | 1323.05288610 | 13.2305288610577 | -7.999007998015996 |                136.0 |
           19 | 1313.41062682 | 13.1341062682125 | -7.999007998015996 |                136.0 |
           20 | 1240.29512059 | 12.4029512059024 | -7.999007998015996 |                136.0 |
           21 | 1253.65242730 | 12.5365242730485 | -7.999007998015996 |                136.0 |
           22 | 1140.87668175 | 11.4087668175336 | -7.999007998015996 |                136.0 |
           23 | 1239.43207886 | 12.3943207886415 | -7.999007998015996 |                136.0 |
           24 | 1073.42550685 | 10.7342550685101 | -7.999007998015996 |                136.0 |
           25 | 1324.98232996 | 13.2498232996465 | -7.999007998015996 |                136.0 |
           26 | 1142.81604563 | 11.4281604563209 | -7.999007998015996 |                136.0 |
           27 | 1643.84152768 | 16.4384152768305 | -7.999007998015996 |    422.8076136152272 |
           28 | 1239.06503813 | 12.3906503813007 | -7.999007998015996 |                136.0 |
           29 | 1326.76793353 | 13.2676793353586 | -7.999007998015996 |                136.0 |
           30 | 1659.55483910 | 16.5955483910967 | -7.999007998015996 |    422.8076136152272 |
           31 | 1239.31799863 | 12.3931799863599 | -7.999007998015996 |                136.0 |
           32 | 1297.64275528 | 12.9764275528551 | -7.999007998015996 |                136.0 |
           33 | 1286.18513237 | 12.8618513237026 | -7.999007998015996 |                136.0 |
           34 | 1259.06875813 | 12.5906875813751 | -7.999007998015996 |                136.0 |
           35 | 1121.27968255 | 11.2127968255936 | -7.999007998015996 |                136.0 |
           36 | 1322.85448570 | 13.2285448570897 | -7.999007998015996 |                136.0 |
           37 | 1593.64126728 | 15.9364126728253 | -7.999007998015996 |    422.8076136152272 |
           38 | 1238.33591667 | 12.3833591667183 | -7.999007998015996 |                136.0 |
           39 | 1184.07836815 | 11.8407836815673 | -7.999007998015996 |                136.0 |
